DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : okTitle
DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : requirePassword
DEBUG | QViewletExporter - leelou.swf.e | ActionScriptName : incorrectPassword
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 12
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 13
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 14 - export symbols
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 14
DEBUG | QViewletExporter - leelou.swf.e | Saved SWF file in 0.188 s
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 15
DEBUG | QViewletExporter - leelou.swf.e | ViewletGenerator.generate 16
DEBUG | QViewletExporter - leelou.s.cb | QViewletExporter: flashGenerator.generate completed
DEBUG | QViewletExporter - leelou.s.cb | QViewletExporter: generate HTML: folder:C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare file: C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare\progress_compare_viewlet_swf.html
INFO | QViewletExporter - leelou.s.cb | Viewlet compiling time: 0.656 s
INFO | AWT-EventQueue-0 - leelou.publish.xc | Starting
DEBUG | AWT-EventQueue-0 - leelou.publish.v | QPublishManager: publishToFolder
DEBUG | Thread-8 - leelou.publish.v | QPublishToFolderThread: publish()
DEBUG | Thread-8 - leelou.publish.v | QPublishToFolderThread: srcFolder: C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare
DEBUG | Thread-8 - leelou.publish.v | QPublishToFolderThread: destFolder: C:\Documents and Settings\Nicole\Desktop\IYJTour\progress_compare
DEBUG | Thread-8 - leelou.publish.v | QPublishToFolderThread: copyFile: C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare\progress_compare.swf to folder: C:\Documents and Settings\Nicole\Desktop\IYJTour\progress_compare
INFO | Thread-8 - QFileUtilities | Copy File: C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare\progress_compare.swf to C:\Documents and Settings\Nicole\Desktop\IYJTour\progress_compare\progress_compare.swf
DEBUG | Thread-8 - QFileUtilities | Copy File: C:\DOCUME~1\Nicole\LOCALS~1\Temp\Qarbon\ViewletBuilder4\Viewlets\progress_compare\progress_compare.swf to: java.io.FileOutputStream@239f6
